spawnx,spawny,spawn_yaw,layer_number_1,layer_number_2,spawn_frame
-1.853373,138.488113,0,4,5,1
22.146244,138.622345,0,4,5,1
46.145859,138.756577,0,4,5,1
-13.846190,137.171021,0,5,6,1
10.153425, 137.305252,0,5,6,1
34.153046, 137.439484,0,5,6,1
39.949795,132.471802,-180,9,10,1 
23.950050,132.382324,-180,9,10,1 
7.950306,132.292831,-180,9,10,1 
-8.049438,132.203339,-180,9,10,1 
-24.049179,132.113861,-180,9,10,1
43.963715,129.994202,-180,11,12,1
31.963907,129.927094,-180,11,12,1
19.964100,129.859970,-180,11,12,1
7.964291,129.792862,-180,11,12,1
-4.035519,129.725739,-180,11,12,1
-16.035324,129.658630,-180,11,12,1